시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,한화손해보험,000370,7980,303.2,68.1,6936.0,5928.0,5766.0,17.0,2.48,73.9,5.6,3798985
KOSPI,유안타증권,003470,5240,85.0,68.8,4722.0,4094.0,3901.0,15.33,1.96,82.3,4.0,1621194
KOSPI,한농화성,011500,26650,961.0,61.3,25260.0,19039.0,17016.0,32.68,1.73,90.5,7.5,3605892
KOSPI,우진,105840,26750,221.9,62.5,25735.0,21332.0,17708.0,20.64,1.54,88.9,3.7,829472
KOSDAQ,제룡산업,147830,8310,152.2,69.1,7611.0,6830.0,6556.0,11.43,1.54,90.8,6.7,1830933
KOSPI,영풍,000670,64000,91.7,65.1,60555.0,57429.0,51307.0,5.44,1.42,89.1,6.5,143319
KOSDAQ,오름테라퓨틱,475830,118400,481.6,58.1,116760.0,105743.0,72540.0,10.42,1.41,80.8,2.5,406797
KOSPI,삼성화재,000810,548000,920.5,62.0,530125.0,505933.0,483562.0,4.78,1.37,84.8,-2.0,167983
KOSPI,이수화학,005950,9790,115.3,60.9,9311.0,9068.0,8288.0,2.68,1.34,70.0,7.7,1178023
KOSPI,팬오션,028670,5350,201.2,63.6,4995.0,4356.0,4105.0,14.66,1.32,95.2,5.3,3761139
KOSPI,한국가스공사,036460,43800,180.4,68.3,41832.0,40922.0,40707.0,2.22,1.26,88.8,4.3,411953
KOSDAQ,와이씨켐,112290,25450,79.3,63.0,24188.0,21844.0,21825.0,10.73,1.23,91.7,5.4,311417
KOSPI,두산밥캣,241560,64800,360.8,64.4,62740.0,60407.0,58623.0,3.86,1.2,87.7,0.2,556788
KOSPI,대한해운,005880,2250,106.7,61.8,2119.0,1921.0,1842.0,10.3,1.15,92.8,3.9,4741067
KOSPI,미스토홀딩스,081660,52700,82.1,69.9,50082.0,45825.0,42800.0,9.29,1.14,94.4,-0.6,155873
KOSPI,영원무역,111770,92000,113.9,59.7,88815.0,87592.0,75638.0,1.4,1.12,92.7,1.4,123840
KOSDAQ,제테마,216080,10200,147.8,59.7,9860.0,7636.0,6808.0,29.14,1.09,90.4,4.0,1449471
KOSPI,S-Oil,010950,112600,298.9,64.4,104840.0,91052.0,80076.0,15.14,1.08,93.8,6.0,265424
KOSDAQ,서진시스템,178320,36800,456.8,52.1,36212.0,29738.0,26549.0,21.77,1.07,86.0,0.5,1241200
KOSDAQ,RF머트리얼즈,327260,42350,110.6,65.4,38342.0,27721.0,21342.0,38.32,1.07,87.1,7.5,261082
KOSPI,키움증권,039490,467500,674.3,61.1,440350.0,345317.0,303379.0,27.52,1.05,90.4,-0.4,144230
KOSPI,GS,078930,73300,257.2,70.0,69235.0,61372.0,55262.0,12.81,1.03,90.5,3.2,350856
