시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,한화손해보험,000370,8050,345.7,66.3,6836.0,5881.0,5744.0,16.24,2.5,74.5,7.6,4294684
KOSPI,우진,105840,26800,248.5,52.6,25638.0,21130.0,17576.0,21.34,1.77,89.0,7.6,927228
KOSPI,삼성화재,000810,553000,927.9,58.9,527325.0,504683.0,482633.0,4.49,1.56,85.6,-4.8,167797
KOSDAQ,셀비온,308430,30900,289.2,59.0,29215.0,25216.0,22382.0,15.86,1.44,73.2,-3.7,935994
KOSPI,한전KPS,051600,62100,157.9,67.8,58460.0,54810.0,52600.0,6.66,1.29,94.1,7.4,254196
KOSPI,한농화성,011500,26100,1523.1,50.6,25098.0,18832.0,16920.0,33.27,1.28,90.0,3.4,5835734
KOSPI,팬오션,028670,5400,164.1,67.8,4949.0,4328.0,4093.0,14.35,1.28,96.1,5.5,3038264
KOSPI,현대약품,004310,13100,167.3,56.6,12420.0,9086.0,6453.0,36.69,1.27,82.1,-0.2,1277014
KOSPI,한국가스공사,036460,44250,167.1,66.7,41685.0,40864.0,40672.0,2.01,1.21,89.7,3.8,377620
KOSPI,대한전선,001440,33900,1748.2,61.9,30455.0,26201.0,22562.0,16.24,1.17,95.1,6.4,5157003
KOSPI,두산에너빌리티,034020,101300,3937.1,62.9,94560.0,85467.0,78798.0,10.64,1.16,94.9,6.1,3886617
KOSPI,두산밥캣,241560,65400,364.1,63.1,62565.0,60243.0,58546.0,3.85,1.15,88.5,-2.4,556658
KOSDAQ,서진시스템,178320,36750,484.0,46.7,35972.0,29529.0,26402.0,21.82,1.14,85.9,-0.3,1316918
KOSDAQ,LS머트리얼즈,417200,17450,844.0,50.6,15830.0,13705.0,12370.0,15.51,1.13,96.8,7.3,4836784
KOSPI,미스토홀딩스,081660,52100,99.8,65.7,49755.0,45641.0,42702.0,9.01,1.13,93.4,-1.0,191519
KOSPI,대한해운,005880,2295,89.0,65.1,2101.0,1912.0,1837.0,9.86,1.12,94.6,3.8,3879518
KOSPI,키움증권,039490,458000,817.2,53.0,434150.0,342008.0,301192.0,26.94,1.11,88.6,1.2,178419
KOSPI,영원무역,111770,91500,123.9,50.6,88455.0,87542.0,75353.0,1.04,1.07,92.2,0.1,135436
KOSPI,삼성물산,028260,338000,1413.5,62.6,312200.0,273617.0,237018.0,14.1,1.06,98.1,1.2,418201
KOSDAQ,RF머트리얼즈,327260,43000,103.9,67.5,37655.0,27317.0,21042.0,37.85,1.04,88.4,-0.2,241677
KOSDAQ,주성엔지니어링,036930,52900,510.5,68.0,45615.0,34958.0,32433.0,30.49,1.04,92.2,6.9,964938
KOSDAQ,아모센스,357580,13880,153.7,50.4,13499.0,9412.0,8879.0,43.43,1.03,81.6,-3.3,1106999
KOSPI,이수화학,005950,9680,111.4,56.8,9292.0,9053.0,8255.0,2.63,1.03,69.2,7.7,1151164
KOSPI,삼영,003720,8260,149.9,67.5,6926.0,6574.0,5854.0,5.35,1.03,86.2,1.8,1815275
KOSPI,S-Oil,010950,114100,477.4,59.4,104185.0,90515.0,79645.0,15.1,1.0,95.1,5.6,418446
