시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,미래에셋생명,085620,13320,94.7,63.7,10713.0,9679.0,9034.0,10.68,3.14,67.9,7.4,710843
KOSPI,국제약품,002720,4775,312.6,62.6,4616.0,4436.0,4427.0,4.07,3.06,87.3,2.5,6546512
KOSPI,두산밥캣,241560,65000,3518.2,51.4,63080.0,60672.0,58789.0,3.97,2.13,88.0,-0.8,5412640
KOSDAQ,씨아이에스,222080,14690,1634.8,56.2,13152.0,9325.0,8176.0,41.04,2.12,93.2,6.2,11128874
KOSDAQ,흥구석유,024060,17610,790.8,63.1,15932.0,13596.0,12977.0,17.18,1.99,73.1,-7.5,4490515
KOSDAQ,디케이티,290550,11290,80.4,49.2,10980.0,8435.0,8235.0,30.18,1.89,82.7,2.9,712060
KOSDAQ,빅텍,065450,4400,211.5,65.9,4063.0,3797.0,3796.0,7.0,1.82,88.4,-1.5,4807206
KOSDAQ,HPSP,403870,44850,2046.3,47.4,44370.0,36265.0,34178.0,22.35,1.78,91.9,-2.3,4562446
KOSDAQ,우진엔텍,457550,29100,101.7,58.5,28122.0,24363.0,23889.0,15.43,1.77,69.3,-0.5,349653
KOSPI,한국석유,004090,16300,112.9,59.0,15868.0,14679.0,14357.0,8.09,1.7,78.2,-13.5,692615
KOSPI,삼성생명,032830,230000,1523.7,65.2,205575.0,176328.0,165873.0,16.59,1.69,88.6,5.0,662492
KOSPI,DB손해보험,005830,183100,1384.0,65.5,171275.0,140883.0,137650.0,21.57,1.61,85.6,-4.8,755878
KOSPI,현대해상,001450,34350,233.8,63.7,32378.0,30250.0,29215.0,7.03,1.57,77.6,-11.5,680680
KOSPI,SK네트웍스,001740,5750,84.1,58.5,5368.0,4831.0,4693.0,11.12,1.55,88.5,2.5,1463455
KOSDAQ,케이엔에스,432470,16010,134.1,59.4,15362.0,12300.0,11777.0,24.89,1.53,78.5,7.2,837467
KOSDAQ,지투파워,388050,11330,143.2,68.0,9930.0,8783.0,8655.0,13.06,1.51,84.4,4.1,1263707
KOSPI,세방전지,004490,68900,84.5,61.7,66900.0,65423.0,64127.0,2.26,1.49,88.7,-0.4,122645
KOSDAQ,비츠로셀,082920,21150,137.3,52.8,21105.0,19677.0,16947.0,7.26,1.43,91.6,0.7,649180
KOSDAQ,성우하이텍,015750,8880,180.5,62.4,8130.0,7404.0,6785.0,9.79,1.43,96.6,2.5,2032762
KOSDAQ,와이씨켐,112290,26650,87.4,60.1,24505.0,22093.0,21946.0,10.92,1.42,94.8,3.5,328031
KOSPI,한화손해보험,000370,7610,111.2,59.0,7122.0,6012.0,5806.0,18.46,1.39,70.5,-18.2,1461564
KOSDAQ,에스티아이,039440,38150,198.2,55.0,35612.0,31775.0,27062.0,12.08,1.34,88.3,7.2,519455
KOSPI,코스모신소재,005070,58400,165.1,60.7,54195.0,49853.0,48741.0,8.71,1.34,89.4,7.6,282655
KOSPI,신성이엔지,011930,2450,2043.5,67.4,2141.0,1788.0,1761.0,19.78,1.34,93.2,5.6,83406564
KOSDAQ,에스에이엠티,031330,5260,133.6,58.5,4890.0,4277.0,3857.0,14.35,1.32,85.0,4.8,2540302
KOSPI,우리금융지주,316140,36000,2552.9,63.9,35365.0,30518.0,28170.0,15.88,1.28,86.7,-11.8,7091426
KOSPI,한화,000880,136600,737.9,62.6,121590.0,102648.0,95455.0,18.45,1.27,94.4,7.7,540183
KOSPI,일동제약,249420,38800,423.2,52.8,37438.0,36951.0,31488.0,1.32,1.26,86.1,7.3,1090819
KOSPI,파미셀,005690,16240,218.8,58.9,15604.0,15164.0,14787.0,2.91,1.24,78.1,-5.1,1347281
KOSPI,KT,030200,63800,258.1,67.4,61190.0,55658.0,53045.0,9.94,1.22,91.9,-7.4,404523
KOSPI,S-Oil,010950,110000,575.7,62.7,106035.0,92137.0,80932.0,15.08,1.21,91.7,-8.3,523395
KOSPI,유진투자증권,001200,5300,151.4,63.9,4707.0,3909.0,3772.0,20.43,1.21,78.4,-10.8,2855760
KOSPI,한국타이어앤테크놀로지,161390,72900,617.1,66.2,70075.0,63833.0,54610.0,9.78,1.21,93.0,-3.6,846486
KOSDAQ,KH바텍,060720,17620,147.5,47.2,17150.0,13911.0,13247.0,23.29,1.2,88.3,7.3,837070
KOSPI,대덕전자,353200,62600,668.5,51.9,60090.0,51754.0,43528.0,16.11,1.19,90.7,7.2,1067964
KOSPI,하나금융지주,086790,121800,2452.4,63.0,118550.0,102870.0,95649.0,15.24,1.18,91.1,-7.2,2013439
KOSDAQ,에프에스티,036810,44050,252.5,51.3,43538.0,35087.0,33226.0,24.09,1.13,86.4,0.7,573320
KOSPI,HD현대일렉트릭,267260,1050000,3474.4,62.2,958650.0,879350.0,786725.0,9.02,1.13,94.1,3.9,330900
KOSPI,한화투자증권,003530,8340,591.8,63.1,7248.0,5665.0,5593.0,27.95,1.12,81.0,-10.3,7096182
KOSPI,DL이앤씨,375500,51100,294.7,65.5,48445.0,44062.0,42886.0,9.95,1.12,85.6,0.4,576810
KOSDAQ,피에스케이,319660,64100,552.8,57.5,58730.0,44113.0,38230.0,33.13,1.11,95.8,5.8,862449
KOSPI,에코프로머티,450080,71900,1232.1,51.1,67885.0,61328.0,58812.0,10.69,1.1,91.1,7.3,1713653
KOSPI,삼성물산,028260,350500,2269.8,62.1,320025.0,279642.0,241702.0,14.44,1.1,96.3,5.9,647601
KOSDAQ,GST,083450,31750,135.5,62.4,29345.0,27622.0,26058.0,6.24,1.1,96.4,6.4,426717
KOSDAQ,하나마이크론,067310,36200,657.0,50.4,35255.0,29108.0,26004.0,21.12,1.09,91.6,3.9,1814861
KOSPI,iM금융지주,139130,18390,245.6,59.5,18332.0,15874.0,14873.0,15.48,1.08,83.6,-15.1,1335279
KOSPI,기업은행,024110,25750,635.4,66.1,24565.0,22092.0,20853.0,11.2,1.07,87.1,-9.8,2467724
KOSPI,신한지주,055550,96900,2322.3,61.2,95025.0,84300.0,78374.0,12.72,1.04,90.4,-5.0,2396564
KOSPI,포스코퓨처엠,003670,247000,1183.0,58.8,230175.0,211313.0,194011.0,8.93,1.03,95.0,6.0,478966
KOSPI,JB금융지주,175330,31750,205.0,62.2,30668.0,26728.0,25059.0,14.74,1.03,82.5,-15.3,645553
KOSDAQ,피에스케이홀딩스,031980,87200,144.3,62.1,78015.0,59216.0,52658.0,31.75,1.0,93.9,-3.8,165452
