시장,종목명,티커,현재가,거래대금(억),RSI,MA20,MA60,MA120,MA갭(20-60%),거래량비율,52주고점대비%,5일수익률%,거래량
KOSPI,삼화페인트,000390,9730,126.1,66.6,8075.0,7076.0,6510.0,14.12,2.35,68.0,-21.2,1295813
KOSPI,현대약품,004310,13370,301.8,59.2,12316.0,8765.0,6299.0,40.52,1.64,83.8,6.3,2257650
KOSPI,이마트,139480,110700,330.7,67.1,99340.0,88235.0,81808.0,12.59,1.62,81.2,-5.9,298737
KOSDAQ,코미팜,041960,8490,103.6,62.4,7766.0,7276.0,6776.0,6.74,1.59,86.1,1.7,1220204
KOSDAQ,상신이디피,091580,16930,76.0,63.6,15435.0,13956.0,12743.0,10.6,1.57,97.3,5.0,449034
KOSDAQ,성호전자,043260,23000,1117.6,66.5,19204.0,11428.0,6445.0,68.04,1.38,81.4,-14.0,4859159
KOSPI,한전KPS,051600,62800,465.4,63.2,57990.0,54450.0,52412.0,6.5,1.3,95.2,7.7,741049
KOSPI,팬오션,028670,5350,247.3,66.8,4860.0,4274.0,4071.0,13.71,1.3,95.2,5.3,4622593
KOSPI,두산밥캣,241560,65500,269.6,60.7,62005.0,59923.0,58382.0,3.47,1.25,88.6,5.3,411584
KOSPI,대한해운,005880,2305,207.0,64.8,2060.0,1893.0,1829.0,8.8,1.18,95.1,4.1,8979353
KOSDAQ,아이텍,119830,9270,91.3,63.8,8108.0,6476.0,6254.0,25.21,1.16,95.3,7.0,985006
KOSDAQ,와이씨,232140,21300,299.9,57.2,18960.0,15860.0,14494.0,19.55,1.15,89.7,-3.0,1407866
KOSPI,LG,003550,98500,279.7,62.3,92525.0,85628.0,81508.0,8.05,1.12,98.7,6.0,283922
KOSPI,삼성물산,028260,331000,1696.5,60.4,308525.0,269683.0,234216.0,14.4,1.1,98.1,4.4,512542
KOSDAQ,알멕,354320,63100,108.1,55.1,60898.0,36635.0,29202.0,66.23,1.09,83.8,-9.1,171296
KOSDAQ,지투지바이오,456160,89500,587.3,54.5,83575.0,78082.0,71295.0,7.04,1.07,83.1,3.9,656237
KOSPI,셀트리온,068270,242000,1130.0,67.4,220800.0,202353.0,188776.0,9.12,1.02,98.4,6.4,466934
